queue,folder,url,id,type,pageUpdated
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC45,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC38v2,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RT01,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC38v2,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC10,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC68,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC38v2,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC71,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC38v2,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RT01,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC39v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC38v2,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RT01,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24v1,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC38v2,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RT01,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC39v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC10,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC37v1,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC11,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC71,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC36,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC38v2,a11y-true,false
erpm,applications,https://www.oracle.com/applications/crystalball/,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/crystalball/,RC11,a11y-true,false
erpm,applications,https://www.oracle.com/applications/crystalball/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/crystalball/,RC30,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/crystalball/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/customer-success-management/,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/customer-success-management/,RC46,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/customer-success-management/,RC46,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/customer-success-management/,RC29,a11y-true,false
erpm,applications,https://www.oracle.com/applications/customer2cloud/,RH03v3,a11y-true,true
erpm,applications,https://www.oracle.com/applications/customer2cloud/,RC24,a11y-true,true
erpm,applications,https://www.oracle.com/applications/customer2cloud/,RC24v3,a11y-true,true
erpm,applications,https://www.oracle.com/applications/customer2cloud/,RC13,a11y-true,true
erpm,applications,https://www.oracle.com/applications/customer2cloud/,RC11,a11y-true,true
erpm,applications,https://www.oracle.com/applications/documaker/,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/documaker/,RC59v1,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/documaker/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/documaker/,RC29,a11y-true,false
erpm,applications,https://www.oracle.com/applications/documaker/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/documaker/,RC37v2,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/documaker/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/ebusiness/,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/ebusiness/,RC24v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/ebusiness/,RC59,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/ebusiness/,RC07,a11y-true,false
erpm,applications,https://www.oracle.com/applications/ebusiness/,RC46,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/ebusiness/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/ebusiness/products.html,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/ebusiness/products.html,RC24v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/ebusiness/products.html,RC59,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/ebusiness/products.html,RC07,a11y-true,false
erpm,applications,https://www.oracle.com/applications/ebusiness/products.html,RC46,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/ebusiness/products.html,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/,RC46,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/,RC10v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/,RC24v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/,RC29,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/agribusiness/,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/agribusiness/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/agribusiness/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/agribusiness/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/asset-lifecycle-management/,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/asset-lifecycle-management/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/asset-lifecycle-management/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/asset-lifecycle-management/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/customer-relationship-management/,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/customer-relationship-management/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/customer-relationship-management/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/customer-relationship-management/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/financial-management/,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/financial-management/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/financial-management/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/financial-management/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/human-capital-management/,RH03v3,a11y-true,false
